text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
Đừng cho tui xài quá 500k cho đồ ăn mỗi tháng nha Mimo,Action,SET_LIMIT,SET,Food,500000,nan,nan,nan,nan,nan,nan,nan
Bật nhắc nhở chi tiêu cho mục giải trí đi bro,Action,SET_ALERT,nan,Entertainment,nan,nan,true,nan,nan,nan,nan,nan
Tui muốn tích cóp 10 củ để sắm con lap mới á Mimo,Action,SET_GOAL,nan,nan,10000000,sắm con lap mới,nan,nan,nan,nan,nan,nan
Tui mún tích cóp 5 củ để mua con laptop mới,Action,ADD_GOAL,ADD,nan,5000000,mua con laptop mới,nan,nan,nan,nan,nan,nan
Chuyển giao diện sang tông tối nha Mimo,Action,SYSTEM_SETTING,,,,,,dark,,,,
"Mimo ơi, nói chuyện tếu táo lên đi!",Action,SET_TONE,,,,,,,funny,,,
Đổi tên acc Mimo của tui thành 7777 đi,Action,SET_USERNAME,,,7777.0,,,,,,,
Lương tháng này của tui là 15 củ nha Mimo,Action,SET_INCOME,,,15000000.0,,,,,,,
thêm 1tr vào giới hạn di chuyển,Action,SET_LIMIT,ADD,Transport,1000000,,,,,,,
thêm vào ngân sách di chuyển 1 tr,Action,SET_LIMIT,ADD,Transport,1000000,,,,,,,
thêm vào ăn uống 1tr,Action,SET_LIMIT,ADD,Food,1000000,,,,,,,
thêm vào giới hạn ăn uống 1tr,Action,SET_LIMIT,ADD,Food,1000000,,,,,,,
tăng hạn mức đi lại thêm 1tr,Action,SET_LIMIT,ADD,Transport,1000000,,,,,,,
thêm vào hạn mức đồ dùng cần thiết 2tr,Action,SET_LIMIT,ADD,Essentials,2000000,,,,,,,
bù 2tr vào mục tiêu mua nhà,Action,ADD_GOAL,ADD,,2000000,mua nhà,,,,,,
giảm hạn mức ăn uống 200k,Action,SET_LIMIT,SUB,Food,200000,,,,,,,
đặt hạn mức ăn uống 2 triệu,Action,SET_LIMIT,SET,Food,2000000,,,,,,,
bật cảnh báo vượt hạn mức cho ăn uống,Action,SET_ALERT,,Food,,,true,,,,,
tắt thông báo chi tiêu,Action,SET_ALERT,,,,,false,,,,,
chuyển sang giao diện tối,Action,SYSTEM_SETTING,,,,,,dark,,,,
tạo mục tiêu mua laptop mới 15 triệu,Action,SET_GOAL,,,15000000,mua laptop mới,,,,,,
đổi sang giọng nói châm chọc nhé,Action,SET_TONE,,,,,,,sarcastic,,,
gọi mình là Khang nhé,Action,SET_USERNAME,,,Khang,,,,,,,
thu nhập hàng tháng của mình là 10 triệu,Action,SET_INCOME,,,10000000,,,,,,,
tìm các giao dịch mua sắm,Action,SEARCH_RECORD,,Shopping,,,,,,,mua sắm,
thống kê chi tiêu ăn uống tháng này,Action,REPORT_GENERAL,,Food,,,,,,tháng này,,
gợi ý ngân sách chi tiêu cho tháng sau,Action,SUGGEST_BUDGET,,,,,,,,tháng sau,,
sửa số tiền giao dịch vừa rồi thành 50k,Action,UPDATE_RECORD,,Food,50000,,,,,,,
Thêm 200k vào ăn uống,Action,SET_LIMIT,ADD,Food,200000,,,,,,,
cộng thêm 100k vào giới hạn đi lại,Action,SET_LIMIT,ADD,Transport,100000,,,,,,,
bớt 50k từ hạn mức giải trí,Action,SET_LIMIT,SUB,Entertainment,50000,,,,,,,
giảm giới hạn ăn uống đi 100k,Action,SET_LIMIT,SUB,Food,100000,,,,,,,
Đặt lại giới hạn thành 500k,Action,SET_LIMIT,SET,,500000,,,,,,,
Đặt giới hạn chi tiêu thành 2tr,Action,SET_LIMIT,SET,,2000000,,,,,,,
đừng cho tui chi quá 1tr tiền ăn mỗi tháng,Action,SET_LIMIT,SET,Food,1000000,,,,,,,
hạn chế chi tiêu giải trí còn 300k thôi,Action,SET_LIMIT,SET,Entertainment,300000,,,,,,,
bật nhắc nhở khi chi quá hạn mức giải trí,Action,SET_ALERT,,Entertainment,,,true,,,,,
đừng cho xài quá 500k đồ ăn mỗi tháng,Action,SET_LIMIT,SET,Food,500000,,,,,,,
muốn tích cóp 10 triệu mua laptop mới,Action,SET_GOAL,,,10000000,mua laptop mới,,,,,,
tích thêm 5 triệu vào mục tiêu mua laptop,Action,ADD_GOAL,ADD,,5000000,mua laptop,,,,,,
sửa lại khoản ăn uống vừa nãy thành 50k,Action,UPDATE_RECORD,,Food,50000,,,,,,,
Mimo ơi tổng bill ăn uống tuần này bao nhiêu rùi?,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Check dùm tui tiền đi lại tháng trước coi,Action,REPORT_GENERAL,,Transport,,,,,,tháng trước,,
"Ê app, quý này tui đốt tiền vào giải trí bao nhiêu?",Action,REPORT_GENERAL,,Entertainment,,,,,,quý này,,
Chi phí mua sắm năm ngoái của tui là bn vậy Mimo?,Action,REPORT_GENERAL,,Shopping,,,,,,năm ngoái,,
