text,intent,sentiment
 id10068,Chitchat,Positive
 id10069,Chitchat,Positive
 id10204,Chitchat,Positive
 id10265,Chitchat,Positive
 id10288,Chitchat,Positive
 id10330,Chitchat,Positive
 id10364,Chitchat,Positive
 id10467,Chitchat,Positive
 id10736,Chitchat,Positive
 id10918,Chitchat,Positive
 id11087,Chitchat,Positive
 id11215,Chitchat,Positive
 id11274,Chitchat,Positive
 id11320,Chitchat,Positive
 id11491,Chitchat,Positive
 id11567,Chitchat,Positive
 id11626,Chitchat,Positive
 id11686,Chitchat,Positive
 id11737,Chitchat,Positive
 id11739,Chitchat,Positive
 id11867,Chitchat,Positive
 id12126,Chitchat,Positive
 id12248,Chitchat,Positive
 id12427,Chitchat,Positive
 id1250,Chitchat,Positive
 id12734,Chitchat,Positive
 id12979,Chitchat,Positive
 id13106,Chitchat,Positive
 id13790,Chitchat,Positive
 id13956,Chitchat,Positive
 id14050,Chitchat,Positive
 id14099,Chitchat,Positive
 id1411,Chitchat,Positive
 id14146,Chitchat,Positive
 id14213,Chitchat,Positive
 id14347,Chitchat,Positive
 id1447,Chitchat,Positive
 id14540,Chitchat,Positive
 id14839,Chitchat,Positive
 id15136,Chitchat,Positive
 id15381,Chitchat,Positive
 id15569,Chitchat,Positive
 id15585,Chitchat,Positive
 id15621,Chitchat,Positive
 id15705,Chitchat,Positive
 id15901,Chitchat,Positive
 id16146,Chitchat,Positive
 id16161,Chitchat,Positive
 id16175,Chitchat,Positive
 id16218,Chitchat,Positive
 id16311,Chitchat,Positive
 id16346,Chitchat,Positive
 id16439,Chitchat,Positive
 id16464,Chitchat,Positive
 id16468,Chitchat,Positive
 id16852,Chitchat,Positive
 id16901,Chitchat,Positive
 id1710,Chitchat,Positive
 id17275,Chitchat,Positive
 id17387,Chitchat,Positive
 id17430,Chitchat,Positive
 id17550,Chitchat,Positive
 id17576,Chitchat,Positive
 id17587,Chitchat,Positive
 id17925,Chitchat,Positive
 id17947,Chitchat,Positive
 id18,Chitchat,Positive
 id1814,Chitchat,Positive
 id18152,Chitchat,Positive
 id18184,Chitchat,Positive
 id18260,Chitchat,Positive
 id18470,Chitchat,Positive
 id18714,Chitchat,Positive
 id18729,Chitchat,Positive
 id18851,Chitchat,Positive
 id19204,Chitchat,Positive
 id19265,Chitchat,Positive
 id19295,Chitchat,Positive
 id19319,Chitchat,Positive
 id19324,Chitchat,Positive
 id19376,Chitchat,Positive
 id19936,Chitchat,Positive
 id2550,Chitchat,Positive
 id2834,Chitchat,Positive
 id2917,Chitchat,Positive
 id2925,Chitchat,Positive
 id2935,Chitchat,Positive
 id2985,Chitchat,Positive
 id3006,Chitchat,Positive
 id3286,Chitchat,Positive
 id3288,Chitchat,Positive
 id3318,Chitchat,Positive
 id333,Chitchat,Positive
 id3387,Chitchat,Positive
 id3645,Chitchat,Positive
 id3664,Chitchat,Positive
 id373,Chitchat,Positive
 id3811,Chitchat,Positive
 id3872,Chitchat,Positive
 id389,Chitchat,Positive
 id4030,Chitchat,Positive
 id4077,Chitchat,Positive
 id4146,Chitchat,Positive
 id4189,Chitchat,Positive
 id4388,Chitchat,Positive
 id4479,Chitchat,Positive
 id4553,Chitchat,Positive
 id4874,Chitchat,Positive
 id5037,Chitchat,Positive
 id5053,Chitchat,Positive
 id5129,Chitchat,Positive
 id5298,Chitchat,Positive
 id5354,Chitchat,Positive
 id5735,Chitchat,Positive
 id5794,Chitchat,Positive
 id6023,Chitchat,Positive
 id6031,Chitchat,Positive
 id6047,Chitchat,Positive
 id606,Chitchat,Positive
 id6112,Chitchat,Positive
 id6128,Chitchat,Positive
 id6247,Chitchat,Positive
 id6375,Chitchat,Positive
 id658,Chitchat,Positive
 id6592,Chitchat,Positive
 id6828,Chitchat,Positive
 id6968,Chitchat,Positive
 id7005,Chitchat,Positive
 id715,Chitchat,Positive
 id7417,Chitchat,Positive
 id7448,Chitchat,Positive
 id7530,Chitchat,Positive
 id7551,Chitchat,Positive
 id757,Chitchat,Positive
 id7659,Chitchat,Positive
 id7844,Chitchat,Positive
 id7887,Chitchat,Positive
 id79,Chitchat,Positive
 id8148,Chitchat,Positive
 id8262,Chitchat,Positive
 id8277,Chitchat,Positive
 id8391,Chitchat,Positive
 id8487,Chitchat,Positive
 id8597,Chitchat,Positive
 id8749,Chitchat,Positive
 id8846,Chitchat,Positive
 id899,Chitchat,Positive
 id9094,Chitchat,Positive
 id9198,Chitchat,Positive
 id9275,Chitchat,Positive
 id953,Chitchat,Positive
 id9738,Chitchat,Positive
 id984,Chitchat,Positive
(^_<),Chitchat,Positive
(^_<) id13700,Chitchat,Positive
(^_<) id13819,Chitchat,Positive
(^_<) id14014,Chitchat,Positive
(^_<) id14082,Chitchat,Positive
(^_<) id14533,Chitchat,Positive
(^_<) id1455,Chitchat,Positive
(^_<) id14689,Chitchat,Positive
(^_<) id15591,Chitchat,Positive
(^_<) id1642,Chitchat,Positive
(^_<) id16681,Chitchat,Positive
(^_<) id17895,Chitchat,Positive
(^_<) id18159,Chitchat,Positive
(^_<) id18306,Chitchat,Positive
(^_<) id18583,Chitchat,Positive
(^_<) id18764,Chitchat,Positive
(^_<) id18885,Chitchat,Positive
(^_<) id19293,Chitchat,Positive
(^_<) id2600,Chitchat,Positive
(^_<) id2860,Chitchat,Positive
(^_<) id2883,Chitchat,Positive
(^_<) id3984,Chitchat,Positive
(^_<) id6126,Chitchat,Positive
(^_<) id6478,Chitchat,Positive
(^_<) id7315,Chitchat,Positive
(^_<) id7694,Chitchat,Positive
(^_<) id8518,Chitchat,Positive
(^_<) id9113,Chitchat,Positive
(^_<) id9373,Chitchat,Positive
(^_<) id9477,Chitchat,Positive
Ai tạo ra bạn thế,Chitchat,Neutral
Ai tạo ra bạn thế bot,Chitchat,Neutral
Ai tạo ra bạn thế bạn,Chitchat,Neutral
Ai tạo ra bạn thế mình,Chitchat,Neutral
Ai tạo ra bạn thế tui,Chitchat,Neutral
Alo Mimo ai tạo ra bạn,Chitchat,Neutral
Alo Mimo biết nói chuyện không,Chitchat,Neutral
Alo Mimo biết nói chuyện không ❓,Chitchat,Neutral
Alo Mimo bot làm được gì ❓,Chitchat,Neutral
Alo Mimo bạn là ai 🐧,Chitchat,Neutral
Alo Mimo có nghe rõ trả lời không 💬,Chitchat,Neutral
Alo Mimo có nghe rõ trả lời ko 👀,Chitchat,Neutral
Alo Mimo dễ thương ai tạo ra bạn,Chitchat,Neutral
Alo Mimo dễ thương ai tạo ra bạn id13696,Chitchat,Neutral
Alo Mimo dễ thương ai tạo ra bạn 🤔,Chitchat,Neutral
Alo Mimo dễ thương biết nói chuyện không,Chitchat,Neutral
Alo Mimo dễ thương bot làm đc gì 🐧,Chitchat,Neutral
Alo Mimo dễ thương bot làm được gì,Chitchat,Neutral
Alo Mimo dễ thương bot làm được gì 🤔,Chitchat,Neutral
Alo Mimo dễ thương bạn là ai,Chitchat,Neutral
Alo Mimo dễ thương bạn là ai 🐧,Chitchat,Neutral
Alo Mimo dễ thương bạn là ai 🐧 id11612,Chitchat,Neutral
Alo Mimo dễ thương có nghe rõ trả lời không,Chitchat,Neutral
Alo Mimo dễ thương có nghe rõ trả lời không id14404,Chitchat,Neutral
Alo Mimo dễ thương là nam hay nữ,Chitchat,Neutral
Alo Mimo dễ thương là nam hay nữ 👀,Chitchat,Neutral
Alo Mimo dễ thương mấy tuổi rồi,Chitchat,Neutral
Alo Mimo dễ thương mấy tuổi rồi id6782,Chitchat,Neutral
Alo Mimo dễ thương mấy tuổi rồi id9145,Chitchat,Neutral
Alo Mimo dễ thương tên gì á,Chitchat,Neutral
Alo Mimo dễ thương tên gì á id9723,Chitchat,Neutral
Alo Mimo dễ thương tên gì á 👀,Chitchat,Neutral
Alo Mimo dễ thương đang làm gì đấy,Chitchat,Neutral
Alo Mimo dễ thương ơi bro đang buồn 📉,Chitchat,Negative
Alo Mimo dễ thương ơi bro đang suy 🥺,Chitchat,Negative
Alo Mimo dễ thương ơi bro đang tổn thương 😢,Chitchat,Negative
Alo Mimo dễ thương ơi bro đang vô tri 🥲,Chitchat,Negative
Alo Mimo dễ thương ơi bro đang áp lực,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang buon 🥺,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang buồn 📉,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang chán 📉,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang mệt,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang stress,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang stress id10349,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang stress 🥺,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang tổn thương 📉,Chitchat,Negative
Alo Mimo dễ thương ơi bà đang áp lực,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang buồn,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang bất lực 🥲,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang chán 😮‍💨,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang mệt 🥲,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang nản,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang nản id9697,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang stress,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang tổn thương 😢,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang tổn thương 😭,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang vô tri 😮‍💨,Chitchat,Negative
Alo Mimo dễ thương ơi bác đang vô tri 🥺,Chitchat,Negative
Alo Mimo dễ thương ơi cậu đang buồn 🥲,Chitchat,Negative
Alo Mimo dễ thương ơi cậu đang bất lực,Chitchat,Negative
Alo Mimo dễ thương ơi cậu đang bất lực 😢,Chitchat,Negative
Alo Mimo dễ thương ơi cậu đang met 😭,Chitchat,Negative
Alo Mimo dễ thương ơi cậu đang nản 💔,Chitchat,Negative
Alo Mimo dễ thương ơi cậu đang stress,Chitchat,Negative
Alo Mimo dễ thương ơi cậu đang vô tri,Chitchat,Negative
Alo Mimo dễ thương ơi em đang buon 😮‍💨,Chitchat,Negative
Alo Mimo dễ thương ơi em đang buồn 🥲,Chitchat,Negative
Alo Mimo dễ thương ơi em đang nản 📉,Chitchat,Negative
Alo Mimo dễ thương ơi em đang nản 🥲,Chitchat,Negative
Alo Mimo dễ thương ơi em đang stress,Chitchat,Negative
Alo Mimo dễ thương ơi em đang suy 🥲,Chitchat,Negative
Alo Mimo dễ thương ơi em đang vô tri,Chitchat,Negative
