text,intent,sentiment
Ai tạo ra bạn thế,Chitchat,Neutral
Ai tạo ra bạn thế bot,Chitchat,Neutral
Ai tạo ra bạn thế bạn,Chitchat,Neutral
Ai tạo ra bạn thế mình,Chitchat,Neutral
Ai tạo ra bạn thế tui,Chitchat,Neutral
App chạy ổn không,Chitchat,Neutral
Ban hay qua troi,Chitchat,Positive
Biết rồi để đó đi,Chitchat,Neutral
Bot dễ thương ghê,Chitchat,Positive
Bot dễ thương ghê luôn,Chitchat,Positive
Bot dễ thương ghê nha,Chitchat,Positive
Bot xịn quá xịn,Chitchat,Positive
"Bot ơi, bạn làm được gì",Chitchat,Neutral
"Bot ơi, bạn làm được gì bot",Chitchat,Neutral
"Bot ơi, bạn làm được gì bạn",Chitchat,Neutral
"Bot ơi, bạn làm được gì mình",Chitchat,Neutral
"Bot ơi, bạn làm được gì tui",Chitchat,Neutral
"Bot ơi, giới thiệu bạn chút đi",Chitchat,Neutral
Buon khong ta noi,Chitchat,Negative
Buon lam khong biet lam sao,Chitchat,Negative
Buon qua khoc luon,Chitchat,Negative
Buon qua muon tam su,Chitchat,Negative
Buon vi khong ai hieu,Chitchat,Negative
Buon vi met,Chitchat,Negative
Buồn ngủ mà deadline dí sát cổ,Chitchat,Negative
"Bye bye, hẹn gặp lại",Chitchat,Positive
Bye nha,Chitchat,Positive
Bái bai nha,Chitchat,Positive
Bái bai nha luôn,Chitchat,Positive
Bái bai nha nha,Chitchat,Positive
"Bái bai, đi đây nè",Chitchat,Positive
"Bái bai, đi đây nè #267",Chitchat,Positive
"Bái bai, đi đây nè #292",Chitchat,Positive
Bạn có biết hát không,Chitchat,Neutral
Bạn có biết kể chuyện cười không,Chitchat,Neutral
Bạn có biết kể chuyện cười không #270,Chitchat,Neutral
Bạn có biết kể chuyện cười không #295,Chitchat,Neutral
Bạn có biết kể chuyện không,Chitchat,Neutral
Bạn có biết làm thơ không,Chitchat,Neutral
Bạn có biết đùa không,Chitchat,Neutral
Bạn có giúp được gì không,Chitchat,Neutral
Bạn có hiểu tiếng Việt không,Chitchat,Neutral
Bạn có khỏe không,Chitchat,Neutral
Bạn có mệt không,Chitchat,Neutral
Bạn có người yêu chưa,Chitchat,Neutral
Bạn có người yêu chưa bot,Chitchat,Neutral
Bạn có người yêu chưa bạn,Chitchat,Neutral
Bạn có người yêu chưa mình,Chitchat,Neutral
Bạn có người yêu chưa tui,Chitchat,Neutral
Bạn có nhớ tui không,Chitchat,Neutral
Bạn có online không,Chitchat,Neutral
Bạn có online không #281,Chitchat,Neutral
Bạn có phải AI không,Chitchat,Neutral
Bạn có phải AI không bot,Chitchat,Neutral
Bạn có phải AI không bạn,Chitchat,Neutral
Bạn có phải AI không mình,Chitchat,Neutral
Bạn có phải AI không tui,Chitchat,Neutral
Bạn có rảnh không,Chitchat,Neutral
Bạn có thông minh không,Chitchat,Neutral
Bạn có thể tư vấn giúp mình không,Chitchat,Negative
Bạn có đang nghe tui không,Chitchat,Neutral
Bạn hoạt động thế nào,Chitchat,Neutral
Bạn học từ đâu vậy,Chitchat,Neutral
Bạn khỏe không,Chitchat,Positive
Bạn là ai vậy,Chitchat,Neutral
Bạn là ai vậy bot,Chitchat,Neutral
Bạn là ai vậy bạn,Chitchat,Neutral
Bạn là ai vậy mình,Chitchat,Neutral
Bạn là ai vậy tui,Chitchat,Neutral
Bạn là bot hay người thật,Chitchat,Neutral
Bạn là bot hay người thật vậy,Chitchat,Neutral
Bạn nói chuyện kiểu gì mà hay ghê,Chitchat,Neutral
Bạn nói chuyện vui ghê á,Chitchat,Positive
Bạn nói chuyện vui ghê á #263,Chitchat,Positive
Bạn nói chuyện vui ghê á #288,Chitchat,Positive
Bạn rảnh không,Chitchat,Negative
Bạn thấy thời tiết hôm nay sao,Chitchat,Negative
Bạn trả lời hay quá mình muốn share cho bạn bè,Chitchat,Positive
Bạn trả lời kiểu gì vậy,Chitchat,Neutral
Bạn tên gì vậy,Chitchat,Neutral
Bị trừ lương oan mình tức muốn khóc,Chitchat,Negative
Bữa nay khỏe hong,Chitchat,Neutral
Bữa nay nóng ghê,Chitchat,Neutral
Cam on ban da giup,Chitchat,Positive
Cam on ban nhieu lam,Chitchat,Positive
Cam on rat nhieu nha,Chitchat,Positive
Cam on tam long ban,Chitchat,Positive
Cam on vi da lang nghe,Chitchat,Positive
Chan app roi that,Chitchat,Negative
Chan doi lam roi,Chitchat,Negative
Chan doi qua roi,Chitchat,Negative
Chan het roi that,Chitchat,Negative
Chan het suc roi,Chitchat,Negative
Chan qua roi di,Chitchat,Negative
Chao ban,Chitchat,Negative
Chao ban a,Chitchat,Positive
Chao ban ban,Chitchat,Negative
Chao ban bot,Chitchat,Neutral
Chao ban chut xiu,Chitchat,Negative
Chao ban di,Chitchat,Neutral
Chao ban ha,Chitchat,Positive
Chao ban hen,Chitchat,Neutral
