text,intent,action_type,verb,category_code,value,goal_name,enabled,theme,verbal_style,time_range,query,note
Bao cao chi tieu lam dep tuan truoc giup minh nha.,Action,REPORT_GENERAL,,Beauty,,,,,,tuần trước,,
Bao cao tinh hinh dau tu tu dau nam toi gio.,Action,REPORT_GENERAL,,Investment,,,,,,từ đầu năm đến giờ,,
Bao nhieu tien da xai cho Education tuần trước roi Mimo?,Action,REPORT_GENERAL,,Education,,,,,,tuần trước,,
Bao nhiêu tiền cho Entertainment tuần này ròi?,Action,REPORT_GENERAL,,Entertainment,,,,,,tuần này,,
Bao nhiêu tiền cho Housing năm ngoái,Action,REPORT_GENERAL,,Housing,,,,,,năm ngoái,,
Bao nhiêu tiền cho Transport trong tuần này?,Action,REPORT_GENERAL,,Transport,,,,,,tuần này,,
Bao nhiêu tiền học hành tháng này vậy?,Action,REPORT_GENERAL,,Education,,,,,,tháng này,,
Bao nhiêu tiền đổ vào Beauty trong 7 ngày gần đây?,Action,REPORT_GENERAL,,Beauty,,,,,,7 ngày gần đây,,
Beauty của tớ tháng này hết bao nhiêu?,Action,REPORT_GENERAL,,Beauty,,,,,,tháng này,,
Báo cáo 1 tuần qua,Action,REPORT_GENERAL,,,,,,,,1 tuần qua,,
Báo cáo Beauty cả tháng 4 đi Mimo.,Action,REPORT_GENERAL,,Beauty,,,,,,cả tháng 4,,
Báo cáo Other hôm qua.,Action,REPORT_GENERAL,,Others,,,,,,hôm qua,,
Báo cáo Shopping trong quý trước giùm tui,Action,REPORT_GENERAL,,Shopping,,,,,,quý trước,,
Báo cáo Social của tuần này.,Action,REPORT_GENERAL,,Social,,,,,,tuần này,,
Báo cáo chi Education của tui quý này đi Mimo,Action,REPORT_GENERAL,,Education,,,,,,quý này,,
Báo cáo chi Food tuần này đi,Action,REPORT_GENERAL,,Food,,,,,,tuần này,,
Báo cáo chi Others trong 14 ngày qua,Action,REPORT_GENERAL,,Others,,,,,,14 ngày qua,,
Báo cáo chi cho học hành của mình từ tháng 1 đến tháng 3,Action,REPORT_GENERAL,,Education,,,,,,từ tháng 1 đến tháng 3,,
Báo cáo chi cho sức khoẻ hôm qua Mimo ơi,Action,REPORT_GENERAL,,Health,,,,,,hôm qua,,
Báo cáo chi cho đồ ăn trong 2 tuần gần đây.,Action,REPORT_GENERAL,,Food,,,,,,2 tuần gần đây,,
Báo cáo chi linh tinh tháng này hộ tui,Action,REPORT_GENERAL,,Others,,,,,,tháng này,,
Báo cáo chi phí Housing năm nay cho tui,Action,REPORT_GENERAL,,Housing,,,,,,năm nay,,
Báo cáo chi phí Investment tuần trước,Action,REPORT_GENERAL,,Investment,,,,,,tuần trước,,
Báo cáo chi phí cho mấy cái khóa học online trong 3 tháng qua.,Action,REPORT_GENERAL,,Education,,,,,,3 tháng qua,,
